ad_id,country,age_range,male,female,unknown
1174314687452148,CZ,18-24,5183.0,4322.0,194.0
1174314687452148,CZ,45-54,14494.0,5828.0,136.0
1174314687452148,CZ,65+,3237.0,2822.0,47.0
1174314687452148,CZ,55-64,7514.0,4689.0,52.0
1174314687452148,CZ,35-44,14595.0,4737.0,102.0
1174314687452148,CZ,25-34,11122.0,4547.0,101.0
1132197931632512,CZ,18-24,3231.0,4088.0,695.0
1132197931632512,CZ,45-54,13119.0,6031.0,157.0
1132197931632512,CZ,65+,3424.0,3158.0,53.0
1132197931632512,CZ,55-64,7309.0,5122.0,63.0
1132197931632512,CZ,35-44,13076.0,5114.0,166.0
1132197931632512,CZ,25-34,9323.0,5306.0,230.0
610951141280553,CZ,18-24,1852.0,1006.0,1024.0
610951141280553,CZ,45-54,9056.0,3188.0,142.0
610951141280553,CZ,65+,2893.0,2583.0,74.0
610951141280553,CZ,55-64,5852.0,3520.0,61.0
610951141280553,CZ,35-44,7455.0,2175.0,142.0
610951141280553,CZ,25-34,4720.0,1339.0,200.0
1635722603992722,CZ,18-24,1282.0,589.0,38.0
1635722603992722,CZ,45-54,7976.0,3455.0,123.0
1635722603992722,CZ,65+,3117.0,3365.0,47.0
1635722603992722,CZ,55-64,5811.0,4291.0,64.0
1635722603992722,CZ,35-44,6463.0,2028.0,72.0
1635722603992722,CZ,25-34,4233.0,1392.0,48.0
594399319763152,CZ,18-24,2122.0,756.0,27.0
594399319763152,CZ,45-54,8178.0,2417.0,71.0
594399319763152,CZ,65+,2129.0,1918.0,33.0
594399319763152,CZ,55-64,4424.0,2809.0,28.0
594399319763152,CZ,35-44,7777.0,1505.0,55.0
594399319763152,CZ,25-34,5790.0,1021.0,39.0
592595716605922,CZ,18-24,1615.0,872.0,32.0
592595716605922,CZ,45-54,8050.0,2814.0,69.0
592595716605922,CZ,65+,2847.0,2583.0,36.0
592595716605922,CZ,55-64,5344.0,3346.0,46.0
592595716605922,CZ,35-44,6959.0,1716.0,58.0
592595716605922,CZ,25-34,4592.0,963.0,44.0
9571649186183615,CZ,18-24,2116.0,850.0,34.0
9571649186183615,CZ,45-54,7754.0,3568.0,87.0
9571649186183615,CZ,65+,2623.0,3084.0,45.0
9571649186183615,CZ,55-64,4322.0,3648.0,42.0
9571649186183615,CZ,35-44,8658.0,2419.0,83.0
9571649186183615,CZ,25-34,6403.0,1384.0,64.0
1179942079893435,CZ,18-24,,25.0,
1179942079893435,CZ,25-34,,63.0,
1179942079893435,CZ,35-44,,98.0,
1179942079893435,CZ,45-54,,298.0,
1179942079893435,CZ,55-64,,928.0,
1179942079893435,CZ,65+,,2531.0,
1436971313668225,CZ,18-24,1531.0,555.0,20.0
1436971313668225,CZ,45-54,9476.0,3848.0,83.0
1436971313668225,CZ,65+,2564.0,2262.0,40.0
1436971313668225,CZ,55-64,5273.0,3564.0,30.0
1436971313668225,CZ,35-44,9436.0,2424.0,68.0
1436971313668225,CZ,25-34,6191.0,1406.0,36.0
749940967152360,CZ,18-24,,31.0,
749940967152360,CZ,25-34,,67.0,
749940967152360,CZ,35-44,,154.0,
749940967152360,CZ,45-54,,354.0,
749940967152360,CZ,55-64,,651.0,
749940967152360,CZ,65+,,1028.0,
284949234707681,CZ,18-24,2294.0,1750.0,28.0
284949234707681,CZ,45-54,8349.0,5470.0,81.0
284949234707681,CZ,65+,2300.0,3044.0,33.0
284949234707681,CZ,55-64,4060.0,4500.0,44.0
284949234707681,CZ,35-44,9351.0,4931.0,84.0
284949234707681,CZ,25-34,6767.0,3261.0,59.0
501124268958756,CZ,18-24,,24.0,
501124268958756,CZ,25-34,,57.0,
501124268958756,CZ,35-44,,230.0,
