ad_id,platform_name
1174314687452148,facebook
1174314687452148,instagram
1132197931632512,facebook
1132197931632512,instagram
610951141280553,facebook
610951141280553,instagram
1635722603992722,facebook
594399319763152,facebook
592595716605922,facebook
9571649186183615,facebook
1179942079893435,facebook
1436971313668225,facebook
749940967152360,facebook
284949234707681,facebook
501124268958756,facebook
8440094952685291,facebook
744516467629702,facebook
310433812120730,facebook
2755947361241217,facebook
1189009068937403,facebook
800539168698423,facebook
416540474519950,facebook
958153392476925,facebook
291975123951930,facebook
444313571293149,facebook
950528733378369,facebook
617086833973817,facebook
1154491045682886,facebook
440098671863360,facebook
1487915055438706,facebook
751937887005631,facebook
1919019615181424,facebook
3608720879445951,facebook
957864548746310,facebook
1127698238571471,facebook
746131974065563,facebook
1020291918934131,facebook
165070903062437,facebook
1553778902180285,facebook
1553778902180285,instagram
876984947302922,facebook
876984947302922,instagram
871282641611626,facebook
871282641611626,instagram
1320708019265746,facebook
1266374447684522,facebook
1266374447684522,instagram
383276704824568,facebook
383276704824568,instagram
386332784348474,facebook
386332784348474,instagram
386202991251134,facebook
386202991251134,instagram
1191519848725687,facebook
1191519848725687,instagram
507694258647859,facebook
507694258647859,instagram
1046879547098956,facebook
1046879547098956,instagram
1259808391702951,facebook
1259808391702951,instagram
3733906706862113,facebook
3733906706862113,instagram
1896254104191025,facebook
1896254104191025,instagram
1071187774370065,facebook
1071187774370065,instagram
3324086937886449,facebook
3324086937886449,instagram
496275436475010,facebook
496275436475010,instagram
1553924778896369,facebook
1553924778896369,instagram
1278250943333203,facebook
1736450150434865,facebook
1736450150434865,instagram
825328716250609,facebook
825328716250609,instagram
1507205550163221,facebook
1507205550163221,instagram
2263693380676133,facebook
2263693380676133,instagram
8274909049263142,facebook
3734692053451325,facebook
865034878919506,facebook
8266502966740936,facebook
8266502966740936,instagram
1664427497656714,facebook
1664427497656714,instagram
1036344141558955,facebook
885917636743880,facebook
885917636743880,instagram
2942346305918652,facebook
2942346305918652,instagram
503382952648030,facebook
503382952648030,instagram
3603860143211432,facebook
3603860143211432,instagram
1216596163082153,facebook
484007880856398,facebook
1974414122973625,facebook
1793960671095051,facebook
1487351005491718,facebook
2729041903919531,facebook
821588302633503,facebook
1169947701107798,facebook
1169947701107798,instagram
1490954215153508,facebook
1171073324240008,facebook
404724942382612,facebook
1162479581437306,facebook
2672727026230625,facebook
475220951506559,facebook
2211024859232229,facebook
3575689542683097,facebook
723773916347322,facebook
586747980420774,facebook
586747980420774,instagram
553660180756101,facebook
553660180756101,instagram
580871937797152,facebook
580871937797152,instagram
1205440993879161,facebook
1205440993879161,instagram
1294542468369597,facebook
1605519923660372,facebook
1088127466293895,facebook
913459336882054,facebook
1746789956170752,facebook
1306421890340755,facebook
1306421890340755,instagram
1052869116140765,facebook
1052869116140765,instagram
898255035530986,facebook
898255035530986,instagram
1032750158581890,facebook
1032750158581890,instagram
403663932262966,facebook
403663932262966,instagram
1002849994952803,facebook
1002849994952803,instagram
1059847509177770,facebook
1059847509177770,instagram
798410302025217,facebook
798410302025217,instagram
1100479597710446,facebook
359519586732755,facebook
359519586732755,instagram
767768015533860,facebook
401289339544579,facebook
401289339544579,instagram
440387062014918,facebook
269538906231109,facebook
952971229490842,facebook
1614055819344601,facebook
1934874806945707,facebook
1391478685092122,facebook
330125373370423,facebook
330125373370423,instagram
727005812835591,facebook
727005812835591,instagram
909121684083476,facebook
1797170474079094,facebook
708488008082086,facebook
803514871792697,facebook
924430872614684,facebook
825713139311263,facebook
2253680058175340,facebook
2270273633308150,facebook
339555632174443,instagram
893944728611233,facebook
1027395878528936,facebook
1027395878528936,instagram
216282511499538,facebook
216282511499538,instagram
3751491495074523,facebook
3751491495074523,instagram
2419760434863572,facebook
1078472166656829,facebook
908477084040405,facebook
1775913546179334,facebook
357604420265410,facebook
862904658554123,facebook
862904658554123,instagram
3733080296954923,facebook
3733080296954923,instagram
1009477820332610,facebook
1009477820332610,instagram
2500095750171732,facebook
2500095750171732,instagram
221448227610895,facebook
221448227610895,instagram
226504993492540,facebook
226504993492540,instagram
704596494897243,facebook
1389278401988221,facebook
874997203571052,facebook
874997203571052,instagram
1099886157643902,facebook
1099886157643902,instagram
1072044274203275,instagram
1432974187484933,facebook
2291296567732121,facebook
2291296567732121,instagram
666040172147004,facebook
666040172147004,instagram
795271809056088,facebook
795271809056088,instagram
182477158195524,facebook
182477158195524,instagram
577367921099058,facebook
580193577450611,instagram
1977869885925869,facebook
1977869885925869,instagram
797578891909383,facebook
797578891909383,instagram
992393925442976,facebook
992393925442976,instagram
643406547686639,facebook
217716257775426,facebook
1475310776539230,facebook
1475310776539230,instagram
1053267845636357,facebook
1365979077468015,facebook
580644434199854,facebook
217224751096010,facebook
989095725442193,facebook
1037306667652725,facebook
1621468221655630,facebook
600503808477373,facebook
800193677823707,facebook
781165049965745,facebook
187243817480221,facebook
3342528989342947,facebook
1557623381427159,facebook
3093078180998069,facebook
1184518182261436,facebook
236191168878901,facebook
232479915831542,facebook
1555439008301350,facebook
1555439008301350,instagram
1566513980508925,facebook
974247400625648,facebook
917762032750526,facebook
744668293545884,facebook
856354482316615,facebook
707021154313623,facebook
707021154313623,instagram
1125638304764128,facebook
1125638304764128,instagram
503187694983659,facebook
503187694983659,instagram
949022046615702,facebook
949022046615702,instagram
2028931687547483,facebook
2028931687547483,instagram
1315909156211820,facebook
1315909156211820,instagram
556750907197892,facebook
556750907197892,instagram
2130280757428933,facebook
2130280757428933,instagram
1446189426338864,facebook
1446189426338864,instagram
576296548435818,facebook
576296548435818,instagram
1988138518357875,facebook
1988138518357875,instagram
539743369063524,facebook
539743369063524,instagram
534413849553762,facebook
534413849553762,instagram
8808918032495498,facebook
8808918032495498,instagram
464612019714151,facebook
464612019714151,instagram
940713047578412,facebook
940713047578412,instagram
1307313080422717,facebook
1307313080422717,instagram
