ad_id,link_titles,link_captions
914730397390747,,
3393849777418338,,
877988764497403,,
1537281813587854,,
1316957255855043,,
2400818756952596,,
1143213763802761,,www.instagram.com
580566821231220,,
1226719235103443,,
1125337329103416,,
3958605657762361,,
595451549645929,,
961279565865899,,www.instagram.com
1113054136394849,Důchodová reforma přináší výhodné změny!,
1768811643892659,,
8865651740183988,,
1706257093283742,,
1331020668275546,,
2307161509647682,Jak udělat z Ostravy český Mnichov?,Jak udělat z Ostravy český Mnichov?
475716938391434,,www.instagram.com
3803492939912540,Můžeme mít německé platy!,
1773368130091815,17. listopad Miroslavy Němcové!,
565072226126593,17. listopad Tomáše Töpfera!,
576660221548161,17. listopad Pavla Žáčka!,
2625445110974672,17. listopad Jany Bačíkové!,
1094426728756560,17. listopad Marka Bendy!,
1278440749978698,17. listopad Veroniky Vrecionové!,
3954907824795908,,
542329285205613,,
583498407526448,(NE) BYDLÍME? - Ústí nad Labem,(NE) BYDLÍME? - Ústí nad Labem
902207905340106,(NE) BYDLÍME ? - Hradec Králové,(NE) BYDLÍME ? - Hradec Králové
468335149597214,Proč budou příští volby mimořádně důležité ❓ Svede se totiž souboj o charakter naší země 🇨🇿,
485346157860673,,
1242706853645614,Proč budou příští volby mimořádně důležité ❓ Svede se totiž souboj o charakter naší země 🇨🇿,
912429137051441,,
3743046369357922,,
1053206606269745,,
852959393309101,,
1277096836961428,Miloš Vystrčil v OVM!,
532409696208284,,
949710996986318,,
4713056655586828,,
1086026380192053,,
1066119824897093,,
502492265888394,,
1061320372274488,,
534604992448338,,
1163918554713042,,
2428833183989350,,
1737574433668529,,
26798670876442912,,
1059549429063468,,
8269447433173487,,
3800121940263360,,
1230596185027317,,
1220998549083802,"My se nesmíme nechat nikdy ponížit, my se nesmíme nechat nikdy zastrašit",
395720186516603,"My se nesmíme nechat nikdy ponížit, my se nesmíme nechat nikdy zastrašit",
749799153875949,,
407344322366879,,
1042037644237385,,
513100254706466,,
1676836423155465,,
1164748888126874,,
1428397507871602,,
3316614938633287,,
1178673606717312,,
8380472518654292,,
1027246322455200,,
7809151069120070,,
1416308669069129,,
1447153479271935,,
1007330081125714,,
351322491404510,,
770130751711730,,
1632626610855040,,
1893425187798842,,
1154717812262246,,
1733572470505701,,
433485299600247,,
765907478946538,,
1525390591383137,,
1364996988236320,,
810158857739102,,
1414154145937938,,
7557793870934647,,
336873656176167,,
1662027881276035,,
7384251351685479,,
1716763832393679,,
316912494794723,Jedině SPOLU máme šanci vyhrát! 🇨🇿🇪🇺,
972587434592130,Jedině SPOLU máme šanci vyhrát! 🇨🇿🇪🇺,
1530948234181844,,
1580933359117072,,
1594177124698126,,
798579188890917,,
1458681668089502,,
1738335833238939,,
452990393977404,,
1664555277283988,,
422719950524708,,
3760616814171852,,
1170991534253747,,
3672932576357231,,
266262636513695,,
462319896477806,,
365730723181522,,
781424757302367,,
469417542285287,,
349090821157049,,
454909227120629,,
1710860529733339,Alexandr Vondra stojí 40 let na straně svobody! ✌️❤️,
670916845177223,Alexandr Vondra stojí 40 let na straně svobody! ✌️❤️,
1870186270128558,,
1474619370140279,Jedině SPOLU se v Evropském parlamentu neztratíme!🇨🇿🇪🇺,
1378611199555970,Jedině SPOLU se v Evropském parlamentu neztratíme!🇨🇿🇪🇺,
828166699176743,,
460385413021011,,
1372322410145274,,
333655956125121,,
1270038800623626,,
1520059158927862,,
805313094872740,,
1120800192305971,,
1115869726225174,,
432379806069939,,
963552778293907,,
309070808753215,,
319353814295627,,
707529184692392,,
1492448464680804,,
1080905566300035,,
2020058351723300,,
289481677580234,,
1372660820094329,,
438842625297710,,
757793606125384,,
2693202087506105,,
940078344422773,,
2033874163672670,,
1454146668508456,,
2734360816730448,,
964310198197787,,
787276993339736,,
799273558763256,,
333720283046639,,
3840529609563995,,
