ad_id,age,gender,percentage
1174314687452148,18-24,female,0.051623
1174314687452148,45-54,male,0.173121
1174314687452148,65+,male,0.038664
1174314687452148,65+,female,0.033707
1174314687452148,55-64,unknown,0.000621
1174314687452148,55-64,male,0.089749
1174314687452148,55-64,female,0.056007
1174314687452148,45-54,unknown,0.001624
1174314687452148,45-54,female,0.069611
1174314687452148,18-24,male,0.061907
1174314687452148,35-44,unknown,0.001218
1174314687452148,35-44,male,0.174327
1174314687452148,35-44,female,0.05658
1174314687452148,25-34,unknown,0.001206
1174314687452148,25-34,male,0.132844
1174314687452148,25-34,female,0.054311
1174314687452148,18-24,unknown,0.002317
1174314687452148,65+,unknown,0.000561
1132197931632512,18-24,female,0.051315
1132197931632512,45-54,male,0.164677
1132197931632512,65+,male,0.04298
1132197931632512,65+,female,0.039641
1132197931632512,55-64,unknown,0.000791
1132197931632512,55-64,male,0.091747
1132197931632512,55-64,female,0.064294
1132197931632512,45-54,unknown,0.001971
1132197931632512,45-54,female,0.075705
1132197931632512,18-24,male,0.040557
1132197931632512,35-44,unknown,0.002084
1132197931632512,35-44,male,0.164137
1132197931632512,35-44,female,0.064194
1132197931632512,25-34,unknown,0.002887
1132197931632512,25-34,male,0.117028
1132197931632512,25-34,female,0.066604
1132197931632512,18-24,unknown,0.008724
1132197931632512,65+,unknown,0.000665
610951141280553,18-24,female,0.021277
610951141280553,45-54,male,0.191532
610951141280553,65+,male,0.061186
610951141280553,65+,female,0.05463
610951141280553,55-64,unknown,0.00129
610951141280553,55-64,male,0.123768
610951141280553,55-64,female,0.074447
610951141280553,45-54,unknown,0.003003
610951141280553,45-54,female,0.067425
610951141280553,18-24,male,0.039169
610951141280553,35-44,unknown,0.003003
610951141280553,35-44,male,0.157671
610951141280553,35-44,female,0.046001
610951141280553,25-34,unknown,0.00423
610951141280553,25-34,male,0.099827
610951141280553,25-34,female,0.028319
610951141280553,18-24,unknown,0.021657
610951141280553,65+,unknown,0.001565
1635722603992722,18-24,female,0.013268
1635722603992722,45-54,male,0.179664
1635722603992722,65+,male,0.070212
1635722603992722,65+,female,0.075799
1635722603992722,55-64,unknown,0.001442
1635722603992722,55-64,male,0.130896
1635722603992722,55-64,female,0.096657
1635722603992722,45-54,unknown,0.002771
1635722603992722,45-54,female,0.077826
1635722603992722,18-24,male,0.028878
1635722603992722,35-44,unknown,0.001622
1635722603992722,35-44,male,0.145583
1635722603992722,35-44,female,0.045682
1635722603992722,25-34,unknown,0.001081
1635722603992722,25-34,male,0.095351
1635722603992722,25-34,female,0.031356
1635722603992722,18-24,unknown,0.000856
1635722603992722,65+,unknown,0.001059
594399319763152,18-24,female,0.018395
594399319763152,45-54,male,0.198983
594399319763152,65+,male,0.051802
594399319763152,65+,female,0.046668
594399319763152,55-64,unknown,0.000681
594399319763152,55-64,male,0.107643
594399319763152,55-64,female,0.068347
594399319763152,45-54,unknown,0.001728
594399319763152,45-54,female,0.058809
594399319763152,18-24,male,0.051631
594399319763152,35-44,unknown,0.001338
594399319763152,35-44,male,0.189226
594399319763152,35-44,female,0.036619
594399319763152,25-34,unknown,0.000949
594399319763152,25-34,male,0.140879
594399319763152,25-34,female,0.024842
594399319763152,18-24,unknown,0.000657
594399319763152,65+,unknown,0.000803
592595716605922,18-24,female,0.020769
592595716605922,45-54,male,0.191731
592595716605922,65+,male,0.067808
592595716605922,65+,female,0.061521
592595716605922,55-64,unknown,0.001096
